Model;Category;Type;Count;nPrompts;totalPrompts
results_gpt-3_5-turbo;;slang;16;210;1260
results_gpt-3_5-turbo;;uncommon_dialects;42;210;1260
results_gpt-3_5-turbo;;technical_terms;43;210;1260
results_gpt-3_5-turbo;;role_play;116;210;1260
results_gpt-3_5-turbo;;misspellings;25;210;1260
results_gpt-3_5-turbo;;question;23;210;1260
results_gpt-4o;;slang;8;210;1260
results_gpt-4o;;uncommon_dialects;6;210;1260
results_gpt-4o;;technical_terms;16;210;1260
results_gpt-4o;;role_play;22;210;1260
results_gpt-4o;;misspellings;9;210;1260
results_gpt-4o;;question;15;210;1260
results_gpt-4-turbo;;slang;7;210;1260
results_gpt-4-turbo;;uncommon_dialects;8;210;1260
results_gpt-4-turbo;;technical_terms;8;210;1260
results_gpt-4-turbo;;role_play;16;210;1260
results_gpt-4-turbo;;misspellings;11;210;1260
results_gpt-4-turbo;;question;9;210;1260
results_llama2_13b-chat;;slang;8;210;1260
results_llama2_13b-chat;;uncommon_dialects;14;210;1260
results_llama2_13b-chat;;technical_terms;12;210;1260
results_llama2_13b-chat;;role_play;4;210;1260
results_llama2_13b-chat;;misspellings;13;210;1260
results_llama2_13b-chat;;question;3;210;1260
results_mistral;;slang;27;210;1260
results_mistral;;uncommon_dialects;39;210;1260
results_mistral;;technical_terms;78;210;1260
results_mistral;;role_play;114;210;1260
results_mistral;;misspellings;41;210;1260
results_mistral;;question;41;210;1260
results_modifiedLlama3;;slang;4;210;1260
results_modifiedLlama3;;uncommon_dialects;15;210;1260
results_modifiedLlama3;;technical_terms;12;210;1260
results_modifiedLlama3;;role_play;11;210;1260
results_modifiedLlama3;;misspellings;16;210;1260
results_modifiedLlama3;;question;13;210;1260
results_vicuna_13b;;slang;29;210;1260
results_vicuna_13b;;uncommon_dialects;58;210;1260
results_vicuna_13b;;technical_terms;61;210;1260
results_vicuna_13b;;role_play;81;210;1260
results_vicuna_13b;;misspellings;47;210;1260
results_vicuna_13b;;question;39;210;1260
