Model;Category;Type;Count;nPrompts;totalPrompts
results_gpt-3_5-turbo;;slang;10;210;1260
results_gpt-3_5-turbo;;uncommon_dialects;13;210;1260
results_gpt-3_5-turbo;;technical_terms;56;210;1260
results_gpt-3_5-turbo;;role_play;153;210;1260
results_gpt-3_5-turbo;;misspellings;21;210;1260
results_gpt-3_5-turbo;;question;18;210;1260
results_gpt-4o;;slang;10;210;1260
results_gpt-4o;;uncommon_dialects;7;210;1260
results_gpt-4o;;technical_terms;22;210;1260
results_gpt-4o;;role_play;24;210;1260
results_gpt-4o;;misspellings;10;210;1260
results_gpt-4o;;question;4;210;1260
results_gpt-4-turbo;;slang;7;210;1260
results_gpt-4-turbo;;uncommon_dialects;8;210;1260
results_gpt-4-turbo;;technical_terms;19;210;1260
results_gpt-4-turbo;;role_play;8;210;1260
results_gpt-4-turbo;;misspellings;10;210;1260
results_gpt-4-turbo;;question;1;210;1260
results_llama2_13b-chat;;slang;2;210;1260
results_llama2_13b-chat;;uncommon_dialects;9;210;1260
results_llama2_13b-chat;;technical_terms;5;210;1260
results_llama2_13b-chat;;role_play;0;210;1260
results_llama2_13b-chat;;misspellings;3;210;1260
results_llama2_13b-chat;;question;2;210;1260
results_mistral;;slang;28;210;1260
results_mistral;;uncommon_dialects;22;210;1260
results_mistral;;technical_terms;97;210;1260
results_mistral;;role_play;160;210;1260
results_mistral;;misspellings;24;210;1260
results_mistral;;question;37;210;1260
results_modifiedLlama3;;slang;5;210;1260
results_modifiedLlama3;;uncommon_dialects;5;210;1260
results_modifiedLlama3;;technical_terms;17;210;1260
results_modifiedLlama3;;role_play;9;210;1260
results_modifiedLlama3;;misspellings;12;210;1260
results_modifiedLlama3;;question;8;210;1260
results_vicuna_13b;;slang;34;210;1260
results_vicuna_13b;;uncommon_dialects;28;210;1260
results_vicuna_13b;;technical_terms;62;210;1260
results_vicuna_13b;;role_play;80;210;1260
results_vicuna_13b;;misspellings;32;210;1260
results_vicuna_13b;;question;39;210;1260
